Filenames,Depth from lung surface (in micrometers) where image was acquired
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010024.jpg,600
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010157.jpg,750
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010035.jpg,780
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010171.jpg,810
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010159.jpg,860
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010158.jpg,920
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010031.jpg,955
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010066.jpg,1000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010067.jpg,1500
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010146.jpg,2000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010164.jpg,2200
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010083.jpg,2400
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010143.jpg,2600
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010026.jpg,2800
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010033.jpg,2950
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010147.jpg,3000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010174.jpg,3100
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010129.jpg,3250
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010149.jpg,3350
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010065.jpg,3900
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010134.jpg,4500
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010078.jpg,4700
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010110.jpg,5300
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010112.jpg,5500
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010077.jpg,5900
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010168.jpg,6000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010107.jpg,6300
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010034.jpg,6600
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010126.jpg,6800
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010086.jpg,6900
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010130.jpg,7000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010142.jpg,7100
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010071.jpg,7100
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010160.jpg,7200
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010113.jpg,7300
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010063.jpg,7400
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010149.jpg,7500
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010159.jpg,7600
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010059.jpg,7700
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010119.jpg,8000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010105.jpg,8100
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010088.jpg,8200
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010140.jpg,8300
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010060.jpg,8400
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010146.jpg,8500
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010111.jpg,8600
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010115.jpg,8800
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010087.jpg,8000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Llobe ch010121.jpg,9000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010136.jpg,9200
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010093.jpg,9300
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010096.jpg,9400
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010135.jpg,9500
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010103.jpg,9600
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010104.jpg,9700
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010068.jpg,9800
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010097.jpg,9900
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010118.jpg,9900
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010114.jpg,9900
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010092.jpg,10000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010089.jpg,10000
/Users/smp6p/Documents/TEACHING/Teaching - BME 2315/Module_2/Code_for_Module_2/MASK_SK658 Slobe ch010098.jpg,10000
